Document Category,Acronym,Description
Legal Contract,CTR,"Legally binding agreements, NDAs, and service contracts."
Presentation,PRS,"Pitch decks, slide sets, and visual meeting materials."
Human Resources,HRE,"Employee records, performance reviews, and onboarding files."
Financial Statement,FIN,"Budgets, invoices, audits, and expense reports."
Technical Spec,SPC,"Blueprints, engineering requirements, and architecture diagrams."
Policy & Procedure,POL,"Internal rules, codes of conduct, and safety guidelines."
Project Plan,PLN,"Timelines, Gantt charts, and scope-of-work documents."
Marketing Asset,MKT,"Brochures, brand guidelines, and advertising copy."
Strategy & Whitepaper,STR,"Market research, vision docs, and thought leadership."
Meeting Minutes,MTG,"Formal records of discussions, decisions, and action items."
Communication,COM,"Non-binding letter to parties, memos, and email threads."
