Label,Code,Description
pdf,PDF,"Finalized reports, contracts, and read-only docs."
doc,WRD,"Drafts, manuals, and text-heavy editable files."
xls,XLS,"Data sets, financial tables, and inventories."
ppt,PPT,"Presentations, pitch decks, and visual guides."
cad,CAD,"Technical blueprints and architectural plans."
md,MKD,"Software documentation and README files."
html,HTM,"Web-based documentation and internal wikis."
txt,TXT,"System logs, notes, and metadata descriptions."
png,PNG,"Screenshots, diagrams, and high-quality visuals."
zip,ZIP,"Bundled documentation packages or backups."
