Sectors List,Sectors Codes,Definition
Commercial Banking,BNK,"Financial intermediation, lending, and liquidity management."
Industrial Manuf.,MFG,"Transformation of raw materials into finished machinery/goods."
Real Estate Services,RES,"Buying, selling, and managing global residential/commercial property."
Healthcare Services,HEA,"Clinical care, hospital operations, and public health management."
Information Tech,ITC,"Computing hardware, software, and IT consulting services."
Education Services,EDU,"Academic, vocational, and digital skill development services."
Retail Trade,RET,"Sale of consumer goods through physical and omnichannel outlets."
Pharma & Biotech,PBT,"Research, development, and production of medicinal drugs."
Public Admin,PAD,"Government-led regulatory, legal, and social policy management."
Construction & BTP,CST,"Infrastructure, civil engineering, and building development."
E-commerce Trade,ECT,"Buying and selling of goods exclusively via digital platforms."
Energy (Renewables),RNW,"Power generation from wind, solar, hydro, and geothermal."
Professional Services,PRO,"Specialized consulting, accounting, and technical advisory."
Automotive Manuf.,AUT,"Design and production of motor vehicles and transport tech."
Transport & Logistics,LOG,"Global supply chain management and movement of freight."
Insurance Services,INS,"Risk underwriting for life, property, and casualty protection."
Telecommunications,TEL,"Operation of 5G/6G networks and data connectivity services."
Energy (Oil & Gas),ONG,"Exploration, refining, and distribution of fossil fuel energy."
Food & Bev Manuf.,FBM,"Industrial processing of agricultural products into food items."
Aeronautics & Defense,ADE,"Civil aviation manufacturing and military hardware systems."
Semiconductors,SEM,"Design and fabrication of microchips for electronic systems."
Tourism & Travel,TRT,"Leisure travel services, including airlines and accommodations."
Mining & Metals,MIN,"Extraction of ores and minerals for industrial and tech use."
Agriculture & Crops,AGR,"Primary cultivation of crops and livestock for food security."
Legal Services,LGL,"Provision of judicial counsel and corporate legal representation."
Artificial Intel,AIX,"Development of autonomous agents, LLMs, and AI licensing."
Chemical Industry,CHM,"Production of industrial chemicals, polymers, and synthetics."
Media & Broadcast,MED,"Content creation, news distribution, and digital streaming."
Luxury Goods,LUX,"High-end prestige products emphasizing brand and quality."
Cybersecurity,CYB,"Protection of networks and digital assets from cyber threats."
Fashion & Apparel,FSH,"Design and mass-market production of clothing/footwear."
Environment & Waste,ENV,"Recycling, waste collection, and ecological remediation."
Maritime Shipping,SHP,"Ocean-based transport of bulk cargo and container units."
Water Utilities,WTR,"Treatment and distribution of water and sewage management."
Consumer Elec.,CEL,"Manufacture of personal gadgets and home electronics."
Arts & Culture,ART,"Operation of museums, galleries, and fine art production."
Professional Sports,SPO,"Commercial management of athletic events and teams."
Dining Services,DNE,"Operation of restaurants, bars, and catering businesses."
Wellness & Beauty,WLS,"Personal care services, fitness, and cosmetic treatments."
Urban Transit,URB,"Public and private inner-city transport systems."
Investment,INV,"Capital allocation, asset management, and long-term financial growth strategies."
